N;a;m;e
Апр_МиМО_ТВ1_Минимум_0604;april_ctm_mimo_tv1_minimum_0604
July_40000;July_40000
СДЭК статусы;sdek_status
Апр_Центр_ТВ1_МВНО_1404;april_ctm_center_tv1_mvno_1404
Находка;Nahodka1
Март_СЗФО_Гарантия22_2803;march_upsale_szfo_warranty22_2803
филиалы;upsale_filials
Март_ЮГ_ТВ1_Стартовый_2802;march_ctm_south_tv1_startoviy_2802
Май_ЮГ_ВН_2505;may_ctm_south_vn_2505
СДЭК Входящие статусы;CDEK_IN_STATE
Апр_СЗФО_ТВ1_Минимум_2903;april_ctm_szfo_tv1_minimum_2903
Фев_ДВ_Гарантия_2202;feb_upsale_dv_warranty_2202
TEST_NVS;TEST_NVS
Апр_Волга_ДрВеб11_1804;april_upsale_volga_drweb11_1804
Фев_СЗФО_ВИП_1402;feb_upsale_szfo_vip_1402
Май_ЮГ_VIP_0505;may_upsale_south_vip_0505
Март_Урал_Гарантия_0103;march_upsale_ural_warranty_0103
client_table;client_table
РТК АВТО ТЛФ Поволжье;dbo.[A_TaskManager_LocalList_bcf0059a-40aa-45aa-b6a0-74b5e6011b37_0]
Март_ДВ_ВИП_1703;march_upsale_dv_vip_1703
Март_СЗФО_ДрВеб_0103;march_upsale_szfo_drweb_0103
Apr_Moneks;Apr_Moneks
TEST_GARANTIYA;TEST_GARANTIYA
Билайн Возврат;dbo.[A_TaskManager_LocalList_3e85069a-5b83-4521-8add-7805e3be3a47_0]
Апр_ЮГ_ВИП_Гарантия_1304;apr_upsale_south_vip_warranty_1304
Депертаменты и часовые пояса;dbo.[A_TaskManager_LocalList_e7729e97-2025-4006-a6fc-79245db6d963_0]
Интернет-Bee_Apr_msk_cold_1604;Bee_Apr_msk_cold_1604
Март_ЮГ_ТВ2_Технология_развлечения_2802;march_ctm_south_tv2_entertainment_technology_2802
Билайн Возврат задолженности;dbo.[A_TaskManager_LocalList_70acb0b2-6e5d-4faf-8889-7d49ea7fa451_0]
Май_Волга_ТВ1_Базовый_Стартовый_1205;may_ctm_volga_tv1_base_startoviy_1205
Март_Урал_ТВ1_Базовый_Стартовый_0403;march_ctm_ural_tv1_base_startoviy_0403
clint_t;clint_t
Фев_СЗФО_ТВ5_Технология_выгоды_1702;feb_ctm_szfo_tv5_technology_profit_1702
Интернет-Bee_June_MSKcorp_0106;Bee_June_MSKcorp_0106
Апр_МиМО_МНВО1_МО_2004;april_ctm_mimo_mnvo1_МО_2004
СДЭК temp;dbo.[A_TaskManager_LocalList_5d043ff9-6e51-41e2-b932-81fd1cfc4bb8_0]
Таблица телеканалов;[Таблица телеканалов]
Dec_xmao_nizhvar_0612;Dec_xmao_nizhvar_0612
Апр_СЗФО_ТВ1_Минимум11_2904;april_ctm_szfo_tv1_minimum11_2904
Омнитех временные зоны;TimeZone
Dec_Murmansk_paket_291116;Dec_Murmansk_paket_291116
Омни статусы;omni_status
Апр_СИБИРЬ_Трансформер_1304;april_upsale_siberia_transformer_1304
СДЭК Тестовые звонки;CDEK_TEST2
Интернет-Bee_May_MSK1000_2804;Bee_May_MSK1000_2804
Омнитех текущие;[OMNI_BASE]
temp;temp_spb
Фев_Волга_Касперский11_0802;feb_upsale_volga_kaspersky11_0802
Март_Центр_ВИП_3102;march_upsale_center_vip_3102
Фев_Волга_ДрВеб11_2202;feb_upsale_volga_drweb11_2202
Апр_МиМО_МНВО2_МОСКВА_2004;april_ctm_mimo_mnvo2_moskva_2004
Апр_МиМО_Гарантия_3103;april_upsale_mimo_warranty_3103
Март_Урал_Касперский11_2203;march_upsale_ural_kaspersky11_2203
Фев_СЗФО_Трансформер2_2202;feb_upsale_szfo_transformer2_2202
РТК АВТО ЦТМ Поволжье;dbo.[A_TaskManager_LocalList_30a261a4-0d3e-4ec9-bd75-950e42f93ede_0]
Апр_ДВ_Гарантия_0704;april_upsale_dv_warranty_0704
Март_ЮГ_Касперский _Гарантия11_3003;march_upsale_south_kaspersky_warranty11_3003
Тестовая база 111;[Тестовая база]
Апр_МиМО_ТВ3_Технология_развлечения_1104;april_ctm_mimo_tv3_entertainment_technology_1104
Фев_Центр_ТВ1_Минимум_0302;feb_ctm_center_tv1_minimum_0302
Фев_Волга_ТВ1_Минимум_0102;feb_ctm_volga_tv1_minimum_0102
РТК АВТО ТЛФ;RTK_AUTO_TLF
Фев_СЗФО_ТВ4_Технология_выгоды_1702;feb_ctm_szfo_tv4_technology_profit_1702
Май_СЗФО_ДрВеб11_0505;may_upsale_szfo_drweb11_0505
Май_СЗФО_ТВ1_Базовый_Стартовый11_2405;may_ctm_szfo_tv1_base_startoviy11_2405
Май_Урал_ТВ3_Технология_развлечения_2405;may_ctm_ural_tv3_entertainment_technology_2405
Камчатка;kamchatka1
Фев_СЗФО_ВИП2_1602;feb_upsale_szfo_vip2_1602
Oct_Sovest_1000_2110;dbo.[A_TaskManager_LocalList_f27113b9-4fb8-442d-a698-9f679e46add6_0]
Nov_cards_magadan_2411;Nov_cards_magadan_2411
Тест;dbo.[A_TaskManager_LocalList_7bc578bb-9ac8-4b97-b514-a0f0d69959ce_0]
Май_Волга_Касперский_2904;may_upsale_volga_kaspersky_2904
Sep_Sovest3000_2609;Sep_Sovest3000_2609
Март_ЮГ_ТВ3_Технология_развлечения_2802;march_ctm_south_tv3_entertainment_technology_2802
Март_Урал_Касперский_0903;march_upsale_ural_kaspersky_0903
Test_rabbit;Test_rabbit
PD Test;[PD Test]
Апр_СЗФО_ТВ7_МВНО11_2804;april_ctm_szfo_tv7_mvno11_2804
Апр_Волга_Гарантия_1104;april_upsale_volga_warranty_1104
Март_СЗФО_ВИП_0103;march_upsale_szfo_vip_0103
РТК АВТО ТЛФ МВНО Юг;rtk_auto_tlf_MBHO_ug
Май_ЮГ_ВН2_2505;may_ctm_south_vn2_2505
Dec_xmao_surgut_0612;Dec_xmao_surgut_0612
Май_ДВ_Гарантия_1105;may_upsale_dv_warranty_1105
Март_Волга_Гарантия_1703;march_upsale_volga_warranty_1703
Интернет-Bee_Apr_msk_0804;Bee_Apr_msk_0804
Nov_cards_centr1_2411;Nov_cards_centr1_2411
Сотовые операторы;[oktell_settings].[dbo].[operators]
Май_Сибирь_ТВ1_Базовый_Стартовый_1305;may_ctm_siberia_tv1_base_startoviy_1305
Интернет-Bee_July_MSK_3006;Bee_July_MSK_3006
testtt;testtt
Dec_Rostobl_paket_291116;Dec_Rostobl_paket_291116
Фев_Урал_Трансформер2_1702;feb_upsale_ural_transformer2_1702
Май_Центр_ТВ1_МВНО_0505;may_ctm_center_tv1_mvno_0505
Май_УРАЛ_DrWeb_Гарантия_1905;may_upsale_ural_drweb_warranty_1905
TEST_IGROVOY;TEST_IGROVOY
Интернет-Bee_May_MSK2_0705;Bee_May_MSK2_0705
Dec_kazan_0612;Dec_kazan_0612
Апр_МиМО_Роутер_FTTB11_1904;april_ctm_mimo_router_fttb11_1904
Билайн Реактивация;dbo.[A_TaskManager_LocalList_05b97d4e-8028-4e52-b11a-c04f6a47cdfa_0]
Май_Урал_ТВ2_Минимум_1805;may_ctm_ural_tv2_minimum_1805
Nov_alfa_2000_1411;Nov_alfa_2000_1411
Май_МиМО_MVNO2_МСК_2405;may_upsale_mimo_mvno2_msk_2405
РТРС Входящие;dbo.[A_TaskManager_LocalList_f8748e56-0da8-4ac8-875d-c24f13e968b8_0]
Март_Сибирь_ТВ1_МВНО_1103;March_ctm_siberia_tv1_mvno_1103
Фев_Волга_ВИП_0702;feb_upsale_volga_vip_0702
Март_СЗФО_ДрВеб11_2803;march_upsale_szfo_drweb11_2803
test;testt
Май_СЗФО_Гарантия_0605;may_upsale_szfo_warranty_0605
Апр_МиМО_МНВО11_МО_2904;april_ctm_mimo_mnvo11_МО_2904
СДЭК текущие;CDEK_BASE
Интернет-Bee_Apr_msk3_0804;Bee_Apr_msk3_0804
Апр_СЗФО_ТВ6_МВНО_1804;april_ctm_szfo_tv6_mvno_1804
Фев_Волга_Касперский_0202;feb_upsale_volga_kaspersky_0202
Март_Центр_Трансформер_0503;march_upsale_center_transformer_0503
тестовая база ртк;test_rtk
Май_ДВ_VIP_Гарантия_2505;may_upsale_dv_vip_warranty_2505
Доп ТВ СЗФО;rtk_auto_ctm2
РТК АВТО ЦТМ;rtk_auto_ctm
Май_Волга_ДрВеб11_0405;may_upsale_volga_drweb11_0405
Интернет-Bee_Mar_msk3_1703;Bee_Mar_msk3_1703
Фев_СЗФО_ТВ7_МВНО_1802;feb_ctm_szfo_tv7_mvno_1802
Камчатка2;Kamchatka2
Апр_МиМО_Роутер_FTTB2_1804;april_ctm_mimo_router_fttb2_1804
Март_СЗФО_ВИП2_0503;march_upsale_szfo_vip2_0503
Oct_sovest_6000_1110;Oct_sovest_6000_1110
Aug_QIWI_3;Aug_QIWI_3
Май_СЗФО_ТВ1_Базовый_Стартовый_0405;may_ctm_szfo_tv1_base_startoviy_0405
Интернет-Bee_Aug_MSK_0708;Bee_Aug_MSK_0708
Интернет-Bee_Aug_COLD_1308;Bee_Aug_COLD_1308
Интернет-Bee_Mar_center_ug_1203;Bee_Mar_center_ug_1203
Oct_Sovest_2000_1710;dbo.[A_TaskManager_LocalList_a8619f46-2d37-4963-ac8b-d82201baabe6_0]
Новороссийск;Novoross1
РТК АВТО ЦТМ Юг;rtk_auto_ctm_ug_szfo
Март_Сибирь_ТВ3_МВНО_1103;March_ctm_siberia_tv3_mvno_1103
Интернет-Bee_Mar_msk2_0403;Bee_Mar_msk2_0403
Фев_ЦЕНТР_Трансформер_0802;feb_upsale_center_transformer_0802
СДЭК ПД вечер;cdek_inn_evening
Oct_Sovest_7000_0610;dbo.[A_TaskManager_LocalList_e49592c1-812f-4d8c-8c4e-df28ebc8aaf8_0]
Апр_Урал_ТВ3_Технология_развлечения_1904;april_ctm_ural_tv3_entertainment_technology_1904
Май_Сибирь_Гарантия_0205;may_upsale_siberia_warranty_0205
Фев_ДВ_Трансформер_2402;feb_upsale_dv_transformer_2402
Май_ЮГ_ТВ1_Минимум_3004;may_ctm_south_tv1_minimum_3004
Sovest_General;Sovest_General
Фев_Сибирь_Гарантия_3101;feb_upsale_siberia_warranty_3101
СДЭК ПД утро;cdek_inn
Май_ДВ_ВИП_0505;may_upsale_dv_vip_0505
Март_Волга_ТВ2_Базовый_Стартовый_Мордовия_0103;march_ctm_volga_tv2_base_startoviy_mordoviya_0103
Sep_Sovest_2400_2509;Sep_Sovest_2400_2509
Интернет-Bee_Mar_EAST2_0403;Bee_Mar_EAST2_0403
Апр_МиМО_ТВ2_Технология_развлечения_0704;april_ctm_mimo_tv2_entertainment_technology_0704
Апр_СЗФО_ТВ2_Минимум_2903;april_ctm_szfo_tv2_minimum_2903
Май_Волга_ВИП_3004;may_upsale_volga_vip_3004
Нояб_РТК_АВТО_Москва11_1611;nov_rtk_avto_moskow11_1611
Dec_Mig_Stavr_70_0612;Dec_Mig_Stavr_70_0612
Май_Волга_Касперский11_1605;may_upsale_volga_kaspersky11_1605
Oct_sovest_3400_0810;Oct_sovest_3400_0810
Апр_СЗФО_ВИП11_2204;april_upsale_szfo_vip11_2204
Интернет-Bee_May_MSK3_1505;Bee_May_MSK3_1505
anket;anket
Nov_cards_centr2_2411;Nov_cards_centr2_2411
Март_Волга_ТВ1_Базовый_Стартовый11_3103;march_ctm_volga_tv1_base_startoviy11_3103
